,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,source_file
3346,edge_lig_21286-1_lig_5693-1_run1_protein,11.39,1.06,0.91,13.24,0.72,0.36,22,15,default
3347,edge_lig_21286-1_lig_5693-1_run1_water,16.1,0.34,0.32,15.69,0.29,0.16,59,52,default
3948,edge_lig_23291-1_lig_5693-1_run1_protein,-42.71,0.66,0.65,-43.42,0.25,13.02,80,59,default
3949,edge_lig_23291-1_lig_5693-1_run1_water,-41.09,0.26,0.3,-41.37,0.31,0.28,48,76,default
3976,edge_lig_23349-1_lig_5693-1_run1_protein,-42.2,0.63,0.86,-41.69,1.09,0.99,78,65,default
3977,edge_lig_23349-1_lig_5693-1_run1_water,-43.0,0.34,0.36,-43.31,0.41,0.41,77,76,default
7774,edge_lig_44714-1_lig_5693-1_run1_protein,30.96,1.29,1.27,25.76,1.63,60.42,45,80,default
7775,edge_lig_44714-1_lig_5693-1_run1_water,24.05,0.29,0.34,23.94,0.27,0.19,35,75,default
3354,edge_lig_44610-2_lig_5693-1_run1_protein,-5.11,0.37,0.32,-4.5,0.62,0.27,80,79,05fs
3355,edge_lig_44610-2_lig_5693-1_run1_water,-0.7,0.33,0.26,-0.87,0.3,0.17,80,80,05fs
3324,edge_lig_21119-1_lig_120-1_run1_protein,26.57,0.19,0.17,26.81,0.15,0.25,76,76,default
3325,edge_lig_21119-1_lig_120-1_run1_water,27.43,0.09,0.09,27.49,0.08,0.11,67,41,default
642,edge_lig_120-1_lig_15511-2_run1_protein,-28.68,0.78,0.71,-27.44,0.76,4.57,30,67,default
643,edge_lig_120-1_lig_15511-2_run1_water,-29.72,0.17,0.19,-29.62,0.22,0.2,36,77,default
4782,edge_lig_27584-1_lig_120-1_run1_protein,46.29,0.72,0.62,44.48,0.29,52.94,78,75,default
4783,edge_lig_27584-1_lig_120-1_run1_water,52.99,0.16,0.14,53.09,0.21,0.16,78,62,default
7576,edge_lig_43630-1_lig_120-1_run1_protein,30.74,0.55,0.68,31.03,0.58,2.17,80,65,default
7577,edge_lig_43630-1_lig_120-1_run1_water,31.29,0.13,0.15,31.2,0.17,0.18,75,69,default
646,edge_lig_120-1_lig_21328-1_run1_protein,-66.28,0.34,0.38,-66.17,0.57,0.58,80,80,default
647,edge_lig_120-1_lig_21328-1_run1_water,-72.2,0.14,0.19,-71.73,0.11,0.1,80,78,default
6426,edge_lig_37772-1_lig_120-1_run1_protein,6.04,0.28,0.23,6.02,0.21,0.33,78,55,default
6427,edge_lig_37772-1_lig_120-1_run1_water,5.82,0.16,0.16,5.8,0.13,0.14,67,30,default
3944,edge_lig_23291-1_lig_120-1_run1_protein,17.63,0.65,0.71,17.09,0.37,6.63,78,62,default
3945,edge_lig_23291-1_lig_120-1_run1_water,21.79,0.36,0.39,22.6,0.28,0.19,25,43,default
7734,edge_lig_4465-2_lig_120-1_run1_protein,11.55,0.59,0.83,11.83,0.5,0.59,69,61,default
7735,edge_lig_4465-2_lig_120-1_run1_water,12.12,0.16,0.16,12.27,0.15,0.17,80,64,default
8120,edge_lig_5675-1_lig_120-1_run1_protein,22.39,0.58,0.49,22.47,0.36,0.45,80,11,default
8121,edge_lig_5675-1_lig_120-1_run1_water,24.35,0.15,0.16,24.26,0.1,0.09,80,20,default
8066,edge_lig_5426-1_lig_120-1_run1_protein,4.98,0.18,0.14,5.2,0.16,0.19,74,63,default
8067,edge_lig_5426-1_lig_120-1_run1_water,6.55,0.1,0.11,6.6,0.09,0.09,55,29,default
898,edge_lig_23048-1_lig_120-1_run1_protein,43.75,0.51,0.58,43.54,0.43,0.66,80,80,05fs
899,edge_lig_23048-1_lig_120-1_run1_water,45.39,0.16,0.2,46.22,0.16,0.13,80,80,05fs
644,edge_lig_120-1_lig_21123-1_run1_protein,-34.91,1.29,1.11,-31.37,0.59,183.38,23,62,default
645,edge_lig_120-1_lig_21123-1_run1_water,-39.71,0.42,0.37,-38.21,0.44,0.25,11,45,default
650,edge_lig_120-1_lig_29643-1_run1_protein,-13.4,0.42,0.45,-13.26,0.34,2.0,80,80,default
651,edge_lig_120-1_lig_29643-1_run1_water,-14.97,0.16,0.19,-14.96,0.2,0.23,80,80,default
526,edge_lig_17928-1_lig_120-1_run1_protein,36.34,0.43,0.5,36.99,0.5,0.35,80,80,05fs
527,edge_lig_17928-1_lig_120-1_run1_water,36.06,0.43,0.52,40.44,0.29,0.19,46,80,05fs
2312,edge_lig_17917-1_lig_120-1_run1_protein,47.99,0.4,0.42,48.0,0.29,0.52,72,40,default
2313,edge_lig_17917-1_lig_120-1_run1_water,52.46,0.26,0.26,52.59,0.24,0.22,29,17,default
2548,edge_lig_3712-2_lig_120-1_run1_protein,59.99,0.65,0.56,59.19,0.36,2.43,80,78,05fs
2549,edge_lig_3712-2_lig_120-1_run1_water,64.9,0.54,0.56,64.97,0.32,0.16,80,78,05fs
5682,edge_lig_33376-1_lig_120-1_run1_protein,25.1,1.0,0.73,21.04,0.26,1409.52,80,63,default
5683,edge_lig_33376-1_lig_120-1_run1_water,19.39,0.18,0.2,19.32,0.25,0.23,79,59,default
648,edge_lig_120-1_lig_26759-2_run1_protein,-25.52,0.87,0.84,-23.99,0.87,32.26,80,80,default
649,edge_lig_120-1_lig_26759-2_run1_water,-28.65,0.45,0.43,-29.17,0.76,0.71,80,80,default
844,edge_lig_21664-2_lig_120-1_run1_protein,46.08,0.62,0.65,47.64,1.08,0.72,80,80,05fs
845,edge_lig_21664-2_lig_120-1_run1_water,49.84,0.33,0.25,49.25,0.35,0.25,71,79,05fs
5746,edge_lig_3439-1_lig_120-1_run1_protein,63.32,0.93,1.09,62.91,1.15,69.46,78,72,default
5747,edge_lig_3439-1_lig_120-1_run1_water,65.96,0.26,0.24,65.81,0.27,0.25,53,75,default
3822,edge_lig_22076-1_lig_120-1_run1_protein,59.84,1.0,0.85,58.91,0.55,11.32,80,24,default
3823,edge_lig_22076-1_lig_120-1_run1_water,65.04,0.35,0.31,65.01,0.34,0.31,50,46,default
2520,edge_lig_3685-1_lig_120-1_run1_protein,152.55,0.94,0.85,151.32,1.0,60.23,80,80,05fs
2521,edge_lig_3685-1_lig_120-1_run1_water,148.2,0.44,0.43,149.08,0.29,0.16,72,79,05fs
4240,edge_lig_25835-1_lig_120-1_run1_protein,86.84,0.85,0.95,83.03,0.28,164.76,80,78,default
4241,edge_lig_25835-1_lig_120-1_run1_water,85.8,0.3,0.28,85.57,0.25,0.31,42,43,default
