# Experimental block
# Ligand, expt_DDG, expt_dDDG
lig_13,-10.50,0.00
lig_41313-1,lig_20745-1,3.31,0,0.01
lig_41313-1,lig_11368-2,2.31,0,0.01
lig_41313-1,lig_20726-3,2.11,0,0.01
lig_41313-1,lig_20801-3,-0.48,0,0.01
lig_41313-1,lig_22030-1,2.59,0,0.01
lig_41313-1,lig_17259-1,0.89,0,0.01
lig_41313-1,lig_11471-3,-0.35,0,0.01
lig_41313-1,lig_10690-1,3.26,0,0.01
lig_41313-1,lig_11471-1,1.01,0,0.01
lig_41313-1,lig_8465-1,-0.65,0,0.01
lig_41313-1,lig_30931-1,2.29,0,0.01
lig_41313-1,lig_10683-1,4.51,0,0.01
lig_41313-1,lig_36666-1,3.35,0,0.01
lig_41313-1,lig_2714-1,2.81,0,0.01
