ligand	DG(MLE)	uncertainty (kcal/mol)
lig_4814-1	2.42	0.0
lig_16626-2	1.9800000000000002	0.01
lig_11063-1	0.6600000000000001	0.01
lig_37891-2	2.71	0.0
lig_35181-6	3.31	0.01
lig_5952-1	4.84	0.0
lig_19264-1	3.41	0.0
lig_3552-1	1.87	0.01
lig_17901-2	2.43	0.0
lig_42392-2	-1.98	0.01
lig_39971-1	0.71	0.0
lig_22076-1	5.67	0.0
lig_17928-2	4.86	0.01
lig_10001-2	2.06	0.01
lig_9007-1	3.13	0.0
lig_19130-1	5.12	0.01
lig_26803-1	2.5300000000000002	0.0
lig_39971-2	4.48	0.0
lig_24905-1	-1.4	0.01
lig_18158-1	3.13	0.0
lig_17434-1	3.65	0.0
lig_7773-1	0.9199999999999999	0.0
lig_9952-1	2.66	0.0
lig_16635-1	1.7100000000000002	0.01
