,edge_run,CGI_dG,CGI_Std_Err_parametric,CGI_Std_Err_bootstrip,BAR_dG,BAR_Std_Err_bootstrip,BAR_Std_Err_analytical,num_forward,num_backward,BAR_conv,BAR_conv_abs,BAR_conv_bootstrip,source
857,edge_lig_4-99_lig_15710-1_run3_water,-13.18,0.19,0.18,-13.1,0.19,0.22,80,80,0.18,0.18,0.14,default
882,edge_lig_4-99_lig_35689-6_run1_protein,18.34,0.46,0.44,18.9,0.35,1.73,80,80,0.95,0.95,0.02,default
883,edge_lig_4-99_lig_35689-6_run1_water,18.28,0.15,0.15,18.34,0.15,0.18,80,80,0.14,0.14,0.11,default
884,edge_lig_4-99_lig_35689-6_run2_protein,14.15,0.46,0.34,14.55,0.83,1.08,80,80,0.79,0.79,0.09,default
885,edge_lig_4-99_lig_35689-6_run2_water,18.46,0.16,0.14,18.58,0.14,0.19,80,80,0.24,0.24,0.12,default
886,edge_lig_4-99_lig_35689-6_run3_protein,16.14,0.41,0.34,17.23,0.35,0.7,80,80,0.63,0.63,0.12,default
887,edge_lig_4-99_lig_35689-6_run3_water,18.12,0.16,0.17,18.19,0.19,0.21,80,80,0.14,0.14,0.14,default
108,edge_lig_10387-2_lig_4-99_run1_protein,-17.71,0.61,0.69,-20.11,0.48,21.36,80,80,1.0,1.0,0.00,default
109,edge_lig_10387-2_lig_4-99_run1_water,-21.78,0.15,0.15,-21.79,0.15,0.22,80,80,0.22,0.22,0.12,default
110,edge_lig_10387-2_lig_4-99_run2_protein,-15.55,0.52,0.49,-16.49,0.89,2.04,80,80,0.94,0.94,0.02,default
111,edge_lig_10387-2_lig_4-99_run2_water,-22.2,0.16,0.17,-22.27,0.18,0.21,80,80,0.04,0.04,0.12,default
112,edge_lig_10387-2_lig_4-99_run3_protein,-16.95,0.6,0.48,-17.55,0.86,1.98,80,80,0.94,0.94,0.02,default
113,edge_lig_10387-2_lig_4-99_run3_water,-22.44,0.19,0.16,-22.42,0.15,0.2,80,80,0.19,0.19,0.11,default
1026,edge_lig_4362-1_lig_4-99_run1_protein,-7.5,0.26,0.23,-7.68,0.27,0.36,80,80,0.14,0.14,0.25,default
1027,edge_lig_4362-1_lig_4-99_run1_water,-8.34,0.13,0.17,-8.34,0.16,0.19,80,80,0.15,0.15,0.10,default
1028,edge_lig_4362-1_lig_4-99_run2_protein,-3.78,0.37,0.32,-3.68,0.37,0.41,80,80,0.06,0.06,0.18,default
1029,edge_lig_4362-1_lig_4-99_run2_water,-8.45,0.11,0.14,-8.39,0.13,0.15,80,80,0.09,0.09,0.08,default
1030,edge_lig_4362-1_lig_4-99_run3_protein,-5.67,0.25,0.31,-5.85,0.35,0.4,80,80,0.09,0.09,0.25,default
1031,edge_lig_4362-1_lig_4-99_run3_water,-8.5,0.14,0.14,-8.57,0.16,0.16,80,80,0.13,0.13,0.11,default
876,edge_lig_4-99_lig_32345-1_run1_protein,-26.45,0.39,0.34,-26.37,0.55,1.78,80,80,0.94,0.94,0.03,default
877,edge_lig_4-99_lig_32345-1_run1_water,-25.51,0.17,0.13,-25.59,0.16,0.21,80,80,0.18,0.18,0.13,default
878,edge_lig_4-99_lig_32345-1_run2_protein,-30.0,0.35,0.31,-30.18,0.27,0.33,80,80,0.13,0.13,0.16,default
