"Title","SMILES"
"797","*c1cc(C)ns1"
"798","*C(C)O"
"799","*C(C)(C)O"
"800","*c1cnc(F)nc1"
"801","*c1nc(C)co1"
"802","*c1cncc(F)c1"
"803","*c1ccncc1"
"804","*c1cnc(F)cn1"
"808","*c1ccc(-c2cn[nH]c2)cc1"
"810","*C(=O)NCCCCCC"
"812","*C(C)CC(=O)O"
"813","*CC(=O)O"
"815","*CC(C)C(=O)O"
"816","*c1cncc(OC)c1"
"817","*CC(O)C(=O)O"
"818","*c1cc(C)nc2ccc(OC)cc12"
"819","*c1cc(C)nc2ccccc12"
"820","*Cc1ccc(C)cc1"
"821","*S(=O)(=O)CCC"
"822","*S(=O)(=O)c1ccc(C)cc1"
"824","*Cc1cccc(C)c1"
"826","*Cc1cccc(F)c1"
"827","*c1ncccc1C(F)(F)F"
"833","*c1cc(C)nc2ccc(F)cc12"
"834","*Cc1ccc(F)cc1"
"836","*Cc1ccccc1C"
"837","*S(=O)(=O)C1CC1"
"838","*S(=O)(=O)CC(F)(F)F"
"840","*S(=O)(=O)CC"
"841","*Cc1ccccc1F"
"842","*S(=O)(=O)c1ccccc1"
"843","*S(=O)(=O)CCCC"
"853","*c1ncon1"
"854","*S(=O)(=O)NC1CC1"
"855","*S(=O)(=O)NC"
"856","*c1nc(C)no1"
"857","*N1CCN(C)CC1"
"858","*c1noc(C)n1"
"859","*C(O)(C(F)(F)F)C(F)(F)F"
"860","*N1CCS(=O)(=O)CC1"
"861","*S(=O)(=O)NCCO"
"862","*Cc1ccco1"
"863","*CCCCC1CCCCC1"
"868","*C(=O)n1cncn1"
"870","*C(=O)n1nnc2ncccc21"
"873","*Cc1cncc(C)c1"
"878","*C(=O)n1nnc2ccccc21"
"880","*C1C2CC3CC(C2)CC1C3"
"884","*C(O)CC"
"900","*COCC"
"901","*Oc1cccc2ccccc12"
"902","*CS(C)(=O)=O"
"903","*CCC(=O)Nc1ccccc1CC"
"905","*CC1CCc2ccc(OC)cc2C1"
"906","*CCNC(=O)c1ccccc1C"
"907","*CC(C)C(O)c1ccc(O)cc1"
"908","*c1ncnc2sccc12"
"910","*Cc1nc2ccc(O)cc2[nH]1"
"911","*C(C)C(O)c1ccc(N)cc1"
"913","*Cc1coc2ccccc2c1=O"
"914","*S(=O)(=O)Cc1ccccc1"
"915","*CCC(=O)Nc1ccccc1F"
"916","*CCCNCc1cccnc1"
"917","*CCNCc1ccc(O)c(OC)c1"
"919","*CCc1ccc(C)cc1"
"920","*CCc1ccc(F)cc1"
"922","*CC1CCc2cccc(OC)c2C1"
"924","*Cc1c[nH]c2ccccc12"
"927","*C1Cc2ccccc2CC1O"
"930","*C(=O)NC1C2CC3CC(C2)CC1C3"
"935","*C(=O)n1oc(=O)c(C(C)C)c1C"
"940","*CC(O)c1ccc(O)cc1"
"943","*CCNC(=O)c1ccccc1"
"945","*c1ccncc1S(N)(=O)=O"
"949","*CCCCc1ccc(C)cc1"
"950","*Cc1cc2ccc(O)cc2[nH]1"
"951","*CC1CCc2ccccc2O1"
"953","*C(=O)N(C)CCN1CCCCC1"
"954","*CC(O)CNC"
"955","*S(=O)(=O)Cc1cccc(C)c1"
"956","*CCCOCCCc1ccccc1"
"961","*CCc1ccc2c(c1)sc(=O)n2C"
"963","*C1CCCCC1O"
"964","*CCc1ccccc1OC"
"965","*CCc1cccc(OC)c1"
"969","*CC1COc2ccccc2C1"
"970","*CC1COc2ccccc2O1"
"971","*CCc1ccc(OC)cc1"
